Ticker,Nome,Settore,Tipo,Valuta,MarketCap,PE_Trailing,PE_Forward,PEG,PriceToBook,EV_EBITDA,EBITDA,ProfitMargin,ROE,ROA,DebtToEquity,DividendYield,Beta,High52w,Low52w,EPS,RevenueGrowth,LastUpdated
FLEX,Flex Ltd.,Technology,EQUITY,USD,42769477632.0,44.702705,16.281565,0.94,7.775688,20.249,2123000064.0,0.03325,0.18378,0.044159997,107.818,,1.654,166.86,53.07,2.59,0.206,2026-09-11 23:59 UTC
FTNT,"Fortinet, Inc.",Technology,EQUITY,USD,114510700544.0,55.148415,41.312733,1.72,73.826866,43.548,2595800064.0,0.28173,1.17442,0.14166,36.194,,1.059,173.89,73.55,2.83,0.256,2026-09-11 23:59 UTC
GD,General Dynamics Corporation,Industrials,EQUITY,USD,96291299328.0,21.70122,19.14746,2.18,3.5840886,15.204,6632999936.0,0.08179,0.17803,0.06079,35.335,1.8,0.321,400.0,306.77,16.4,0.081,2026-09-11 23:59 UTC
GE,GE Aerospace,Industrials,EQUITY,USD,335817474048.0,38.122498,35.598602,4.16,19.037704,30.16,11482999808.0,0.17716,0.48231998,0.05065,113.225,0.58,1.35,388.84,268.91,8.49,0.211,2026-09-11 23:59 UTC
GOOGL,Alphabet Inc.,Communication Services,EQUITY,USD,4139833098240.0,16.992971,22.758093,1.22,6.6508174,23.302,173164003328.0,0.54771,0.48676,0.12958999,18.859,0.26,1.225,408.61,235.84,19.92,0.242,2026-09-11 23:59 UTC
GRAB,Grab Holdings Limited,Technology,EQUITY,USD,12478470144.0,27.727272,21.942446,0.63,1.8384569,23.95,343000000.0,0.16028,0.077410005,0.0070200004,28.224,,0.89,6.62,2.96,0.11,0.219,2026-09-11 23:59 UTC
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,EQUITY,USD,299667783680.0,15.892218,13.901744,1.27,2.842654,,,0.31039,0.16902,0.010720001,725.381,1.96,1.283,1153.99,740.01,64.76,0.425,2026-09-11 23:59 UTC
HDB,HDFC Bank Limited,Financial Services,EQUITY,USD,119921369088.0,16.096552,16.441252,1.01,9.327464,,,0.26787,0.13838,0.0175,,1.92,0.404,37.45,21.77,1.45,0.166,2026-09-11 23:59 UTC
HEI,Heico Corporation,Industrials,EQUITY,USD,44163342336.0,52.666668,43.893097,2.15,10.227199,31.659,1474066048.0,0.16375999,0.17728001,0.085039996,45.034,0.08,1.038,376.86,256.11,6.0,0.231,2026-09-11 23:59 UTC
HII,"Huntington Ingalls Industries, ",Industrials,EQUITY,USD,11021072384.0,16.658129,13.4242,0.86,2.0747285,11.918,1170000000.0,0.05013,0.12968001,0.042779997,55.252,1.96,0.225,460.0,263.62,16.79,0.109,2026-09-11 23:59 UTC
HON,Honeywell International Inc.,Industrials,EQUITY,USD,64135979008.0,7.783077,20.335276,3.35,3.4599142,10.592,8512000000.0,0.21581,0.46577,0.0572,185.369,1.38,0.901,260.28317,195.86786,26.0,0.043,2026-09-11 23:59 UTC
HUBS,"HubSpot, Inc.",Technology,EQUITY,USD,11534801920.0,79.90426,13.554027,0.28,6.753889,64.695,156663008.0,0.042579997,0.07892,0.023610001,14.3,,1.181,525.51,169.63,2.82,0.198,2026-09-11 23:59 UTC
IBM,International Business Machines,Technology,EQUITY,USD,229211865088.0,21.606571,18.483696,2.27,6.6530843,17.389,16472999936.0,0.15522,0.34460998,0.053039998,188.97,2.89,0.708,332.46,199.19,11.26,0.011,2026-09-11 23:59 UTC
IBN,ICICI Bank Limited,Financial Services,EQUITY,USD,105476300800.0,18.030674,15.632978,0.52,2.6352203,,,0.27531,0.16073999,0.021070002,,0.86,0.26,33.03,25.08,1.63,0.114,2026-09-11 23:59 UTC
ILMN,"Illumina, Inc.",Healthcare,EQUITY,USD,31173949440.0,38.588783,33.817043,2.53,10.984304,27.49,1155000064.0,0.18336001,0.32339,0.086660005,89.042,,1.467,231.81,88.0,5.35,0.094,2026-09-11 23:59 UTC
INFY,Infosys Limited,Technology,EQUITY,USD,44836814848.0,13.666666,13.039944,1.85,9.322105,19.525,4481999872.0,0.16370001,0.32,0.15297,9.541,4.8,0.108,30.0,10.3,0.81,0.029,2026-09-11 23:59 UTC
INTU,Intuit Inc.,Technology,EQUITY,USD,85935079424.0,19.548328,11.767789,1.0,4.605437,12.382,6848999936.0,0.21289,0.23596,0.1047,44.34,1.76,0.976,705.08,252.84,16.45,0.137,2026-09-11 23:59 UTC
IQV,"IQVIA Holdings, Inc.",Healthcare,EQUITY,USD,43087339520.0,32.599003,18.103693,0.93,6.9822087,18.83,3048000000.0,0.08096,0.22818,0.05061,257.975,,1.186,271.8,154.5,8.03,0.087,2026-09-11 23:59 UTC
ISRG,"Intuitive Surgical, Inc.",Healthcare,EQUITY,USD,132258340864.0,42.333714,30.529533,1.64,7.19058,29.242,4180800000.0,0.28445998,0.17423001,0.10512,,,1.465,603.88,328.57,8.72,0.185,2026-09-11 23:59 UTC
JBTM,JBT Marel Corporation,Industrials,EQUITY,USD,5933669888.0,30.830187,12.310679,1.22,1.3217162,11.599,637400000.0,0.04903,0.0437,0.0313,37.545,0.35,0.92,170.19,110.19,3.71,0.049,2026-09-11 23:59 UTC
JD,"JD.com, Inc.",Consumer Cyclical,EQUITY,USD,36544528384.0,18.039999,6.459536,0.49,1.1062235,-1.361,11797999616.0,0.01126,0.06787,0.00191,37.294,3.7,0.339,36.86,24.508,1.5,-0.029,2026-09-11 23:59 UTC
JNJ,Johnson & Johnson,Healthcare,EQUITY,USD,640020840448.0,30.774042,21.331726,4.26,7.526924,19.164,34872000512.0,0.21482,0.25742,0.08595,57.709,2.01,0.235,281.07,173.33,8.63,0.066,2026-09-11 23:59 UTC
JPM,JP Morgan Chase & Co.,Financial Services,EQUITY,USD,946925731840.0,15.269182,14.256049,1.65,2.67828,,,0.34921002,0.17789,0.0136,,1.7,0.975,366.5,279.1,23.33,0.304,2026-09-11 23:59 UTC
KLAC,KLA Corporation,Technology,EQUITY,USD,236014616576.0,49.220707,26.939522,1.75,37.18403,39.219,6054757888.0,0.35574,0.87496,0.20799999,96.88,0.52,1.444,307.37,95.5,3.67,0.152,2026-09-11 23:59 UTC
KO,Coca-Cola Company (The),Consumer Defensive,EQUITY,USD,379872051200.0,26.513514,25.037006,3.98,10.509463,24.0,16997999616.0,0.28558,0.42054,0.09401,115.519,2.42,0.342,92.49,65.35,3.33,0.067,2026-09-11 23:59 UTC
LHX,"L3Harris Technologies, Inc.",Industrials,EQUITY,USD,45723136000.0,24.776993,18.259794,1.25,2.388963,28.591,2146000000.0,0.103690006,,,34.574,2.01,0.746,379.23,244.83,9.91,1.9,2026-09-11 23:59 UTC
LLY,Eli Lilly and Company,Healthcare,EQUITY,USD,994915778560.0,37.489918,23.61627,1.11,29.35898,24.947,41706999808.0,0.33528998,1.02286,0.20357001,162.071,0.62,0.502,1292.65,712.05,29.76,0.477,2026-09-11 23:59 UTC
LMT,Lockheed Martin Corporation,Industrials,EQUITY,USD,120978202624.0,19.314297,16.019543,1.0,13.750327,14.228,9680000000.0,0.08163,0.89165,0.08638,234.238,2.6,0.104,692.0,437.25,27.14,0.105,2026-09-11 23:59 UTC
LRCX,Lam Research Corporation,Technology,EQUITY,USD,373168930816.0,51.86435,25.59424,1.47,29.920738,42.985,8641328128.0,0.31272,0.65066004,0.22840999,33.049,0.44,1.859,438.5,115.88,5.75,0.3,2026-09-11 23:59 UTC
LTIM,,,,,,,,,,,,,,,,,,,,,,2026-09-11 23:59 UTC
MA,Mastercard Incorporated,Financial Services,EQUITY,USD,498616074240.0,31.274174,24.720724,1.48,88.99156,22.895,22200999936.0,0.46339,2.41202,0.24063,439.583,0.61,0.735,601.62,464.52,18.2,0.141,2026-09-11 23:59 UTC
MCD,McDonald's Corporation,Consumer Cyclical,EQUITY,USD,178700713984.0,20.530893,18.0712,2.19,-174.6404,15.572,14929999872.0,0.3172,,0.1325,,2.94,0.414,341.75,252.17,12.3,0.037,2026-09-11 23:59 UTC
MCHP,Microchip Technology Incorporat,Technology,EQUITY,USD,40291246080.0,109.11764,16.253572,0.22,6.245791,29.211,1506099968.0,0.0934,0.0719,0.03536,83.688,2.54,1.736,105.91,48.52,0.68,0.38,2026-09-11 23:59 UTC
MDB,"MongoDB, Inc.",Technology,EQUITY,USD,29133248512.0,510.15494,46.51309,1.67,9.800849,1933.785,13854000.0,0.02116,0.01989,-0.0022200001,1.846,,1.585,473.1,215.68,0.71,0.305,2026-09-11 23:59 UTC
MELI,"MercadoLibre, Inc.",Consumer Cyclical,EQUITY,USD,96190586880.0,51.57298,33.38613,0.91,12.278566,26.748,3892000000.0,0.052950002,0.27504,0.0431,168.586,,1.312,2548.5,1495.0,36.79,0.498,2026-09-11 23:59 UTC
